;bib;name;;FE1;FE1 Pos;gender;Class
1;24;Preben Nøkleby;NOR;09:17.81;1;M;Menn senior
2;27;Marcio Franco;BRA;09:45.52;2;M;Menn senior
3;25;Adrian Hilde;NOR;09:51.92;3;M;Menn senior
4;49;Kristoffer Apeland;NOR;09:54.01;4;M;Menn senior
5;26;Tom Custers Nedrebø;NOR;09:59.58;5;M;Menn senior
6;75;Henrik Ulleland;NOR;10:08.33;6;M;Menn senior
7;34;Jan Kristian Vesterfjell;NOR;10:31.86;7;M;Menn senior
8;28;Mark Basso;CAN;10:34.29;8;M;Menn senior
9;54;Sondre Folkedal;NOR;10:36.12;9;M;Menn senior
10;40;Oddbjørn Egge Ødegaard;NOR;10:39.75;10;M;Menn senior
11;32;Sindre Aarøy Holtet;NOR;10:44.57;11;M;Menn senior
12;36;Mathias Kråkenes;NOR;10:45.43;12;M;Menn senior
13;31;Lars-Georg S. Paulsen;NOR;10:48.76;13;M;Menn senior
14;50;Tord Kylling;NOR;11:00.36;14;M;Menn senior
15;66;Aapo Halonen;FIN;11:07.41;15;M;Menn senior
16;29;Arild Gravdal;NOR;11:10.86;16;M;Menn senior
17;39;Anders Ekkje Slettebø;NOR;11:14.93;17;M;Menn senior
18;65;Juuso KARTTUNEN;FIN;11:19.96;18;M;Menn senior
19;68;Marius Heggholmen;NOR;11:21.03;19;M;Menn senior
20;46;Lars Tveito;NOR;11:21.43;20;M;Menn senior
21;70;Christopher Hammersland;NOR;11:29.71;21;M;Menn senior
22;55;Frode Bredesen;NOR;11:41.21;22;M;Menn senior
23;53;Sigurd Lindland;NOR;11:44.13;23;M;Menn senior
24;30;Petter D. Nygaard;NOR;11:44.16;24;M;Menn senior
25;61;Kristian Fauskanger;NOR;11:45.79;25;M;Menn senior
26;41;Håvard Gerner;NOR;11:49.82;26;M;Menn senior
27;58;Sondre Knapstad;NOR;11:54.40;27;M;Menn senior
28;38;Erik Hjermann;NOR;11:56.76;28;M;Menn senior
29;51;Tommy Aslaksen;NOR;11:58.41;29;M;Menn senior
30;37;Kristoffer Rakneberg;NOR;12:02.50;30;M;Menn senior
31;57;Dennis Myrland;NOR;12:10.18;31;M;Menn senior
32;62;Geir Storesund;NOR;12:11.97;32;M;Menn senior
33;45;Brigt Kråkenes;NOR;12:19.87;33;M;Menn senior
34;60;Reidar Berge;NOR;12:20.52;34;M;Menn senior
35;44;Andreas Brekken;NOR;12:21.34;35;M;Menn senior
36;48;John Torvald Indrebø;NOR;12:42.71;36;M;Menn senior
37;72;Trond Østerlie;NOR;12:50.42;37;M;Menn senior
38;47;Pål Tørud;NOR;13:02.78;38;M;Menn senior
39;77;Preben Ukvitne;NOR;13:08.43;39;M;Menn senior
40;64;Raymond Nepstad;NOR;13:19.22;40;M;Menn senior
41;52;Even Hægland;NOR;13:23.55;41;M;Menn senior
42;59;Anders Johnsrud;NOR;13:30.23;42;M;Menn senior
43;43;Kurt Lauvås;NOR;13:34.94;43;M;Menn senior
44;71;Edvard Boge;NOR;13:41.84;44;M;Menn senior
45;74;Allan Ellard;NOR;14:57.61;45;M;Menn senior
46;33;Daniel Sapak;SLO;15:37.30;46;M;Menn senior
1;11;Vera Leivsdottir;NOR;10:48.78;1;F;Kvinner senior
2;12;Hilde Strædet;NOR;10:51.74;2;F;Kvinner senior
3;15;Eline Moen;NOR;12:17.00;3;F;Kvinner senior
4;14;Kamilla Sporsheim;NOR;12:24.24;4;F;Kvinner senior
5;17;Berglind Adalsteinsdottir;ISL;12:27.88;5;F;Kvinner senior
6;16;Margrethe Alm;NOR;12:48.55;6;F;Kvinner senior
7;19;Hanna Möykkynen;FIN;13:35.78;7;F;Kvinner senior
8;20;Hildegunn Heggøy;NOR;15:40.99;8;F;Kvinner senior
9;18;Sara-Petrine Solli;NOR;18:10.01;9;F;Kvinner senior
1;1;Jørgen Velure;NOR;10:05.60;1;M;Menn junior
2;2;Tobias Utne;NOR;10:11.30;2;M;Menn junior
3;3;Falk Håkenstad-Bråten;NOR;10:56.38;3;M;Menn junior
4;7;Ole Kristian Opheim Lydvo;NOR;11:52.09;4;M;Menn junior
5;4;Noah Holmefjord-Dalland;NOR;11:53.02;5;M;Menn junior
6;8;Jakob Tveten Søyland;NOR;12:07.05;6;M;Menn junior
7;6;Erik Opheim Vikane;NOR;13:59.06;7;M;Menn junior
8;5;Vebjørn Gilberg;NOR;16:42.79;8;M;Menn junior
